drugbank_id,interactant_id,name,organism,known_action
DB12941,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB12941,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB12941,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB12978,BE0003657,Multidrug and toxin extrusion protein 1,Humans,unknown
DB12978,BE0004752,Multidrug and toxin extrusion protein 2,Humans,unknown
DB12978,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB12978,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB12978,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,unknown
DB13007,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13055,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,no
DB13092,BE0001570,Outer membrane protein F,Escherichia coli (strain K12),no
DB13092,BE0003941,Membrane protein,Escherichia coli,unknown
DB13125,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13125,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13139,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,no
DB13139,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,no
DB13146,BE0001188,ATP-binding cassette sub-family C member 4,Humans,no
DB13153,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13153,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13154,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13178,BE0009368,Sodium/myo-inositol cotransporter,Humans,no
DB13179,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13215,BE0003644,Hepatic sodium/bile acid cotransporter,Humans,unknown
DB13257,BE0008685,Natural resistance-associated macrophage protein 2,Humans,unknown
DB13257,BE0009856,Ferroportin,Humans,unknown
DB13345,BE0000703,Bile salt export pump,Humans,no
DB13620,BE0000732,Sodium/potassium-transporting ATPase subunit alpha-1,Humans,no
DB13620,BE0000502,Solute carrier family 12 member 1,Humans,no
DB13620,BE0009378,Hydrogen potassium ATPase,Humans,no
DB13751,BE0000703,Bile salt export pump,Humans,no
DB13783,BE0000785,Multidrug resistance-associated protein 1,Humans,no
DB13867,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13867,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13874,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13874,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13874,BE0001066,Solute carrier family 22 member 6,Humans,unknown
DB13874,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13874,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13874,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13874,BE0003645,Organic anion transporter 3,Humans,unknown
DB13878,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13878,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13878,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13878,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13879,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13879,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13879,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13879,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13919,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13919,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13943,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13943,BE0003645,Organic anion transporter 3,Humans,unknown
DB13943,BE0003646,Solute carrier family 22 member 7,Humans,unknown
DB13943,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13943,BE0003644,Hepatic sodium/bile acid cotransporter,Humans,unknown
DB13943,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13943,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB13943,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13944,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13944,BE0003645,Organic anion transporter 3,Humans,unknown
DB13944,BE0003646,Solute carrier family 22 member 7,Humans,unknown
DB13944,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13944,BE0003644,Hepatic sodium/bile acid cotransporter,Humans,unknown
DB13944,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13944,BE0000757,Solute carrier family 22 member 4,Humans,unknown
