drugbank_id,interactant_id,name,organism,known_action
DB14548,BE0009901,Metal cation symporter ZIP8,Humans,unknown
DB14548,BE0009902,Zinc transporter ZIP1,Humans,unknown
DB14548,BE0009903,Metal cation symporter ZIP14,Humans,unknown
DB14548,BE0009904,Zinc transporter ZIP3,Humans,unknown
DB14548,BE0009905,Zinc transporter ZIP9,Humans,unknown
DB14548,BE0009906,Zinc transporter ZIP11,Humans,unknown
DB14548,BE0009907,Zinc transporter 6,Humans,unknown
DB14568,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14568,BE0003645,Organic anion transporter 3,Humans,unknown
DB14631,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14631,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14631,BE0003645,Organic anion transporter 3,Humans,unknown
DB14635,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14641,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14641,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14642,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB14649,BE0000703,Bile salt export pump,Humans,unknown
DB14649,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14649,BE0001069,ATP-binding cassette sub-family C member 2,Humans,unknown
DB14649,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14649,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14649,BE0003645,Organic anion transporter 3,Humans,unknown
DB14669,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14669,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14669,BE0003645,Organic anion transporter 3,Humans,unknown
DB14723,BE0001032,ATP-dependent translocase ABCB1,Humans,no
DB14723,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,no
DB14733,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,no
DB14733,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,no
DB14733,BE0001069,ATP-binding cassette sub-family C member 2,Humans,no
DB14733,BE0000703,Bile salt export pump,Humans,no
