drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB06480,DB06480_rxn_0,BE0002638,P08684
DB06595,DB06595_rxn_0,BE0002638,P08684
DB06595,DB06595_rxn_1,BE0002638,P08684
DB06608,DB06608_rxn_0,BE0002363,P10635
DB06616,DB06616_rxn_0,BE0002638,P08684
DB06616,DB06616_rxn_1,BE0002638,P08684
DB06636,DB06636_rxn_0,BE0002180,P06276
DB06636,DB06636_rxn_1,BE0002180,P06276
DB06652,DB06652_rxn_0,BE0002793,P11712
DB06652,DB06652_rxn_0,BE0002638,P08684
DB06652,DB06652_rxn_0,BE0002362,P20815
DB06652,DB06652_rxn_1,BE0002638,P08684
DB06652,DB06652_rxn_2,BE0002362,P20815
DB06652,DB06652_rxn_2,BE0002638,P08684
DB06652,DB06652_rxn_3,BE0002362,P20815
DB06652,DB06652_rxn_3,BE0002638,P08684
DB06652,DB06652_rxn_4,BE0002362,P20815
DB06652,DB06652_rxn_4,BE0002638,P08684
DB06652,DB06652_rxn_5,BE0002638,P08684
DB06669,DB06669_rxn_0,BE0002887,P10632
DB06669,DB06669_rxn_0,BE0002638,P08684
DB06669,DB06669_rxn_0,BE0002363,P10635
DB06669,DB06669_rxn_1,BE0002887,P10632
DB06669,DB06669_rxn_1,BE0002638,P08684
DB06669,DB06669_rxn_1,BE0002363,P10635
DB06669,DB06669_rxn_2,BE0002887,P10632
DB06669,DB06669_rxn_2,BE0002638,P08684
DB06669,DB06669_rxn_2,BE0002363,P10635
DB06670,DB06670_rxn_3,BE0002638,P08684
DB06670,DB06670_rxn_3,BE0002887,P10632
DB06685,DB06685_rxn_0,BE0002638,P08684
DB06685,DB06685_rxn_1,BE0002638,P08684
DB06685,DB06685_rxn_2,BE0002638,P08684
DB06685,DB06685_rxn_3,BE0002638,P08684
DB06685,DB06685_rxn_4,BE0002638,P08684
DB06685,DB06685_rxn_5,BE0002638,P08684
DB06695,DB06695_rxn_0,BE0004712,O00748
DB06695,DB06695_rxn_1,BE0002705,P23141
