drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB09299,DB09299_rxn_0,BE0008657,P10619
DB09299,DB09299_rxn_0,BE0002705,P23141
DB09299,DB09299_rxn_1,BE0001473,P49773
DB09299,DB09299_rxn_2,BE0001262,P00568
DB09299,DB09299_rxn_2,BE0004477,P54819
DB09299,DB09299_rxn_3,BE0003106,P15531
DB09299,DB09299_rxn_3,BE0003281,P22392
DB09301,DB09301_rxn_0,BE0000883,P34059
DB09301,DB09301_rxn_1,BE0000883,P34059
DB09301,DB09301_rxn_2,BE0000883,P34059
DB09301,DB09301_rxn_3,BE0000883,P34059
DB09301,DB09301_rxn_4,BE0000883,P34059
DB09301,DB09301_rxn_8,BE0001153,P07686
DB09301,DB09301_rxn_9,BE0001153,P07686
